FECHA,DESCRIPCION,CREDIT/DEBIT,SALDO,MES,CATEGORIA
2025-05-01,ABONO INTERESES AHORROS,38.24,29148254.66,2025-05,intereses
2025-05-01,COMPRA EN  ESPRIT,-549700.0,28598554.66,2025-05,otros
2025-05-01,COMPRA EN  FONDANT CA,-78300.0,28520254.66,2025-05,otros
2025-05-01,COMPRA EN  BOSI MULTI,-499900.0,28020354.66,2025-05,otros
2025-05-01,COMPRA EN  SUPERMERCA,-40710.0,27979644.66,2025-05,supermercado
2025-05-01,COMPRA EN  METRO IBAG,-64293.0,27915351.66,2025-05,supermercado
2025-05-02,ABONO INTERESES AHORROS,37.69,27915389.35,2025-05,intereses
2025-05-02,COMPRA EN  TIENDA D1,-23790.0,27891599.35,2025-05,supermercado
2025-05-02,RETIRO CAJERO  ATM PLAZA DEL B,-300000.0,27591599.35,2025-05,retiro
2025-05-02,COMPRA INTL  PAYPAL  DISNEYPLU,-76296.05,27515303.3,2025-05,servicios
2025-05-03,ABONO INTERESES AHORROS,36.67,27515339.97,2025-05,intereses
2025-05-03,COMPRA EN  FONDANT CA,-53000.0,27462339.97,2025-05,otros
2025-05-03,COMPRA EN  METRO IBAG,-21190.0,27441149.97,2025-05,supermercado
2025-05-03,COMPRA EN  EXITO WOW,-122029.0,27319120.97,2025-05,supermercado
2025-05-03,COMPRA EN  CEREZA CAF,-26200.0,27292920.97,2025-05,otros
2025-05-03,COMPRA EN  FUENTE DE,-38400.0,27254520.97,2025-05,entretenimiento
2025-05-03,COMPRA EN  CRUZ VERDE,-76380.0,27178140.97,2025-05,otros
2025-05-03,COMPRA EN  SURTIPLAZA,-87417.0,27090723.97,2025-05,supermercado
2025-05-03,COMPRA EN  TIENDA D1,-16950.0,27073773.97,2025-05,supermercado
2025-05-03,TRANSFERENCIA CTA SUC VIRTUAL,-300000.0,26773773.97,2025-05,transferencia
2025-05-04,COMPRA EN  METRO IBAG,-76263.0,26697547.38,2025-05,supermercado
2025-05-04,ABONO INTERESES AHORROS,36.41,26773810.38,2025-05,intereses
2025-05-04,COMPRA EN  SUPERMERCA,-54138.0,26585710.38,2025-05,supermercado
2025-05-04,COMPRA EN  SUPERMERCA,-57699.0,26639848.38,2025-05,supermercado
2025-05-05,PAGO AUTOM TC MASTER PESOS,-208825.0,26376885.38,2025-05,pago_tc
2025-05-08,ABONO INTERESES AHORROS,144.52,26377029.9,2025-05,intereses
2025-05-09,ABONO INTERESES AHORROS,30.79,26377060.69,2025-05,intereses
2025-05-09,PAGO SUC VIRT TC MASTER PESOS,-18900.0,26358160.69,2025-05,pago_tc
2025-05-09,PAGO PSE Wingo Aerorepublica,-3411498.0,22946662.69,2025-05,otros
2025-05-09,PAGO PSE Unidad Administrativ,-85000.0,22861662.69,2025-05,otros
2025-05-09,RETIRO CAJERO  UNIVERSIDAD IBA,-200000.0,22661662.69,2025-05,retiro
2025-05-09,TRANSFERENCIA CTA SUC VIRTUAL,-30000.0,22631662.69,2025-05,transferencia
2025-05-09,TRANSFERENCIA CTA SUC VIRTUAL,-150000.0,22481662.69,2025-05,transferencia
2025-05-10,ABONO INTERESES AHORROS,30.7,22481693.39,2025-05,intereses
2025-05-10,PAGO PSE COMUNICACION CELULAR,-32000.0,22449693.39,2025-05,servicios
2025-05-10,PAGO PSE COMUNICACION CELULAR,-32000.0,22417693.39,2025-05,servicios
2025-05-11,COMPRA EN  DOLLARCITY,-39000.0,22378693.39,2025-05,otros
2025-05-11,COMPRA EN  SUPERMERCA,-31659.0,22347034.39,2025-05,supermercado
2025-05-11,COMPRA EN  FONDANT CA,-180700.0,22166334.39,2025-05,otros
2025-05-12,ABONO INTERESES AHORROS,60.72,22166395.11,2025-05,intereses
2025-05-13,ABONO INTERESES AHORROS,30.09,22166425.2,2025-05,intereses
2025-05-13,RETIRO CAJERO  ATM PLAZA DEL B,-200000.0,21966425.2,2025-05,retiro
2025-05-14,ABONO INTERESES AHORROS,29.99,21966455.19,2025-05,intereses
2025-05-14,COMPRA EN  SUPERMERCA,-70511.0,21895944.19,2025-05,supermercado
2025-05-15,PAGO DE NOMI UNIV DE IBAGUE,3737460.0,25633404.19,2025-05,ingresos
2025-05-15,TRANSFERENCIA CTA SUC VIRTUAL,75000.0,25708404.19,2025-05,transferencia
2025-05-16,ABONO INTERESES AHORROS,70.42,25708474.61,2025-05,intereses
2025-05-17,ABONO INTERESES AHORROS,34.09,25708508.7,2025-05,intereses
2025-05-17,TRANSFERENCIA CTA SUC VIRTUAL,-123130.0,24890693.7,2025-05,transferencia
2025-05-17,COMPRA EN  TIENDA D1,-38900.0,25262963.7,2025-05,supermercado
2025-05-17,COMPRA EN  EXITO WOW,-278255.0,25301863.7,2025-05,supermercado
2025-05-17,COMPRA EN  JHON PEZ F,-80390.0,25580118.7,2025-05,supermercado
2025-05-17,COMPRA EN  HELADERIA,-21800.0,25241163.7,2025-05,otros
2025-05-17,PAGO PSE Fondo Rotatorio del,-227340.0,25013823.7,2025-05,otros
2025-05-17,COMPRA EN  FUENTE DE,-48000.0,25660508.7,2025-05,entretenimiento
2025-05-18,ABONO INTERESES AHORROS,31.75,24890725.45,2025-05,intereses
2025-05-18,COMPRA EN  SUPERMERCA,-57094.0,24833631.45,2025-05,supermercado
2025-05-18,COMPRA EN  SUPERMERCA,-230129.0,24603502.45,2025-05,supermercado
2025-05-18,RETIRO CAJERO  ATM PLAZA DEL B,-200000.0,24403502.45,2025-05,retiro
2025-05-18,RETIRO CAJERO  ATM PLAZA DEL B,-1000000.0,23403502.45,2025-05,retiro
2025-05-18,RETIRO CAJERO  ATM PLAZA DEL B,-100000.0,23303502.45,2025-05,retiro
2025-05-18,TRANSFERENCIA CTA SUC VIRTUAL,-123130.0,23180372.45,2025-05,transferencia
2025-05-19,ABONO INTERESES AHORROS,31.57,23180404.02,2025-05,intereses
2025-05-19,PAGO PSE COMUNICACION CELULAR,-130508.0,23049896.02,2025-05,servicios
2025-05-20,ABONO INTERESES AHORROS,31.5,23049927.52,2025-05,intereses
2025-05-20,COMPRA EN  SUPERMERCA,-51871.0,22998056.52,2025-05,supermercado
2025-05-21,ABONO INTERESES AHORROS,31.49,22998088.01,2025-05,intereses
2025-05-21,TRANSF QR NEQUI LUIS FERNAND,-1000.0,22997088.01,2025-05,otros
2025-05-21,COMPRA EN  UNIVERSIDA,-5300.0,22991788.01,2025-05,otros
2025-05-22,PAGO APP ALCANOS DE COLOMBIA,-62030.0,22929758.01,2025-05,servicios
2025-05-23,ABONO INTERESES AHORROS,62.82,22929820.83,2025-05,intereses
2025-05-24,COMPRA EN  FONDANT CA,-34000.0,22718001.81,2025-05,otros
2025-05-24,COMPRA EN  FALABELLA,-99900.0,22618101.81,2025-05,otros
2025-05-24,ABONO INTERESES AHORROS,30.98,22929851.81,2025-05,intereses
2025-05-24,COMPRA EN  SURTIPLAZA,-177850.0,22752001.81,2025-05,supermercado
2025-05-25,COMPRA EN  SONATA CAF,-57750.0,22516066.65,2025-05,otros
2025-05-25,ABONO INTERESES AHORROS,30.84,22618132.65,2025-05,intereses
2025-05-25,COMPRA EN  SUPERMERCA,-44316.0,22573816.65,2025-05,supermercado
2025-05-26,ABONO INTERESES AHORROS,28.53,22516095.18,2025-05,intereses
2025-05-26,PAGO PSE Fondo Rotatorio del,-1684000.0,20832095.18,2025-05,otros
2025-05-27,RETIRO CAJERO  UNIVERSIDAD IBA,-100000.0,20732095.18,2025-05,retiro
2025-05-29,ABONO INTERESES AHORROS,85.2,20732180.38,2025-05,intereses
2025-05-30,PAGO DE NOMI UNIV DE IBAGUE,4359644.0,25091824.38,2025-05,ingresos
2025-05-30,ABONO INTERESES AHORROS,32.72,25091857.1,2025-05,intereses
2025-05-30,RETIRO CAJERO  ATM PLAZA DEL B,-1200000.0,23891857.1,2025-05,retiro
2025-05-31,ABONO INTERESES AHORROS,32.41,23891889.51,2025-05,intereses
2025-05-31,COMPRA EN  SURTIPLAZA,-84968.0,23806921.51,2025-05,supermercado
2025-05-31,TRANSFERENCIA CTA SUC VIRTUAL,-143800.0,23663121.51,2025-05,transferencia
2025-06-01,COMPRA EN  METRO IBAG,-103076.0,23560077.56,2025-06,supermercado
2025-06-01,ABONO INTERESES AHORROS,32.05,23663153.56,2025-06,intereses
2025-06-01,COMPRA EN  TIENDA D1,-40870.0,23402207.56,2025-06,supermercado
2025-06-01,COMPRA EN  FONDANT CA,-117000.0,23443077.56,2025-06,otros
2025-06-02,ABONO INTERESES AHORROS,31.47,23402239.03,2025-06,intereses
2025-06-02,COMPRA EN  HOMECENTER,-363400.0,23038839.03,2025-06,otros
2025-06-02,COMPRA EN  SUPERMERCA,-65590.0,22973249.03,2025-06,supermercado
2025-06-03,ABONO INTERESES AHORROS,31.18,22973280.21,2025-06,intereses
2025-06-03,COMPRA EN  SUPERMERCA,-32337.0,22940943.21,2025-06,supermercado
2025-06-03,TRANSFERENCIA CTA SUC VIRTUAL,-143800.0,22797143.21,2025-06,transferencia
2025-06-03,PAGO AUTOM TC MASTER PESOS,-35200.0,22761943.21,2025-06,pago_tc
2025-06-04,ABONO INTERESES AHORROS,31.04,22761974.25,2025-06,intereses
2025-06-04,COMPRA EN  JHON PEZ F,-96890.0,22665084.25,2025-06,supermercado
2025-06-05,ABONO INTERESES AHORROS,31.03,22665115.28,2025-06,intereses
2025-06-05,COMPRA EN  SUPERMERCA,-10500.0,22654615.28,2025-06,supermercado
2025-06-06,ABONO INTERESES AHORROS,29.69,22654644.97,2025-06,intereses
2025-06-06,COMPRA EN  CFSM ARMEN,-280000.0,22374644.97,2025-06,otros
2025-06-06,TRANSFERENCIA CTA SUC VIRTUAL,-700000.0,21674644.97,2025-06,transferencia
2025-06-07,ABONO INTERESES AHORROS,29.44,21674674.41,2025-06,intereses
2025-06-07,PAGO QR Cafe la floresta,-108000.0,21566674.41,2025-06,otros
2025-06-07,COMPRA EN  BOLD*Bodeg,-70000.0,21496674.41,2025-06,entretenimiento
2025-06-08,ABONO INTERESES AHORROS,29.34,21496703.75,2025-06,intereses
2025-06-08,COMPRA EN  SERNA GIRA,-74800.0,21421903.75,2025-06,otros
2025-06-09,COMPRA EN  SUPERMERCA,-91201.0,21330702.75,2025-06,supermercado
2025-06-09,RETIRO CAJERO  UNIVERSIDAD IBA,-100000.0,21230702.75,2025-06,retiro
2025-06-12,ABONO INTERESES AHORROS,116.32,21230819.07,2025-06,intereses
2025-06-13,PAGO DE NOMI UNIV DE IBAGUE,15280011.0,36510830.07,2025-06,ingresos
2025-06-13,ABONO INTERESES AHORROS,45.87,36510875.94,2025-06,intereses
2025-06-13,TRANSF QR NEQUI ANGEL CALDER,-4000.0,36506875.94,2025-06,otros
2025-06-13,RETIRO CAJERO,-2000000.0,34506875.94,2025-06,retiro
2025-06-13,TRANSFERENCIA CTA SUC VIRTUAL,-507800.0,33999075.94,2025-06,transferencia
2025-06-13,TRANSFERENCIA CTA SUC VIRTUAL,-507800.0,33491275.94,2025-06,transferencia
2025-06-14,COMPRA EN  COLCH Y ES,-400000.0,32961419.65,2025-06,otros
2025-06-14,COMPRA EN  SURTIPLAZA,-119600.0,32454429.65,2025-06,supermercado
2025-06-14,COMPRA EN  MR GRILL L,-67400.0,32894019.65,2025-06,otros
2025-06-14,ABONO INTERESES AHORROS,43.71,33491319.65,2025-06,intereses
2025-06-14,COMPRA EN  FALABELLA,-319990.0,32574029.65,2025-06,otros
2025-06-14,COMPRA EN  HOMECENTER,-129900.0,33361419.65,2025-06,otros
2025-06-14,COMPRA EN  FALABELLA,-238990.0,32215439.65,2025-06,otros
2025-06-14,COMISION TRASLADO OTROS BANCOS,-7300.0,31905976.64,2025-06,intereses
2025-06-14,COMPRA EN  TOSTAO CAF,-35000.0,32180439.65,2025-06,entretenimiento
2025-06-14,IVA COMIS TRASLADO OTROS BCOS,-1387.0,31904589.64,2025-06,intereses
2025-06-14,TRASLADO VIRTUAL OTROS BANCOS,-267163.0,31913276.65,2025-06,transferencia
2025-06-14,AJUSTE INTERES AHORROS DB,-0.01,31913276.64,2025-06,intereses
2025-06-15,ABONO INTERESES AHORROS,43.19,31904632.83,2025-06,intereses
2025-06-15,COMPRA EN  SUPERMERCA,-90660.0,31813972.83,2025-06,supermercado
2025-06-15,COMPRA EN  METRO IBAG,-282707.0,31531265.83,2025-06,supermercado
2025-06-16,ABONO INTERESES AHORROS,42.7,31531308.53,2025-06,intereses
2025-06-16,COMPRA EN  SUPERMERCA,-42190.0,31489118.53,2025-06,supermercado
2025-06-16,COMPRA EN  DECATHLON,-165000.0,31324118.53,2025-06,otros
2025-06-16,COMPRA EN  ANDRES PAR,-149000.0,31175118.53,2025-06,otros
2025-06-17,ABONO INTERESES AHORROS,42.41,31175160.94,2025-06,intereses
2025-06-17,COMPRA EN  SUPERMERCA,-88612.0,31086548.94,2025-06,supermercado
2025-06-17,COMPRA EN  DROGUERIA,-124000.0,30962548.94,2025-06,medicamentos
2025-06-18,ABONO INTERESES AHORROS,42.17,30962591.11,2025-06,intereses
2025-06-18,PAGO PSE COMUNICACION CELULAR,-175847.0,30786744.11,2025-06,servicios
2025-06-19,ABONO INTERESES AHORROS,42.06,30786786.17,2025-06,intereses
2025-06-19,COMPRA EN  SUPERMERCA,-77140.0,30709646.17,2025-06,supermercado
2025-06-20,ABONO INTERESES AHORROS,42.02,30709688.19,2025-06,intereses
2025-06-20,PAGO PSE COMUNICACION CELULAR,-32000.0,30677688.19,2025-06,servicios
2025-06-21,ABONO INTERESES AHORROS,41.44,30677729.63,2025-06,intereses
2025-06-21,COMPRA EN  SUPERMERCA,-88031.0,30589698.63,2025-06,supermercado
2025-06-21,COMPRA EN  COSTA NOVA,-129600.0,30460098.63,2025-06,otros
2025-06-21,COMPRA EN  SURTIPLAZA,-129031.0,30331067.63,2025-06,supermercado
2025-06-21,COMPRA EN  JUAN VALDE,-73900.0,30257167.63,2025-06,otros
2025-06-22,ABONO INTERESES AHORROS,41.4,30257209.03,2025-06,intereses
2025-06-22,PAGO PSE COMUNICACION CELULAR,-32000.0,30225209.03,2025-06,servicios
2025-06-23,ABONO INTERESES AHORROS,41.19,30225250.22,2025-06,intereses
2025-06-23,PAGO SUC VIRT TC MASTER PESOS,-54100.0,30171150.22,2025-06,pago_tc
2025-06-23,COMPRA EN  SUPERMERCA,-95972.0,30075178.22,2025-06,supermercado
2025-06-24,ABONO INTERESES AHORROS,40.88,30075219.1,2025-06,intereses
2025-06-24,COMPRA EN  TIENDA D1,-145970.0,29929249.1,2025-06,supermercado
2025-06-24,COMPRA EN  SONATA CAF,-86625.0,29842624.1,2025-06,otros
2025-06-25,ABONO INTERESES AHORROS,40.79,29842664.89,2025-06,intereses
2025-06-25,PAGO APP ALCANOS DE COLOMBIA,-62440.0,29780224.89,2025-06,servicios
2025-06-26,ABONO INTERESES AHORROS,40.11,29780265.0,2025-06,intereses
2025-06-26,COMPRA EN  PLANETA SP,-215000.0,29565265.0,2025-06,otros
